genre,rating,rating_group
Action,5.828057399871493,5
Adventure,5.936001517450682,5
Animation,6.393315143246931,6
Biography,6.845727136431784,6
Comedy,5.972971548998946,5
Crime,6.205887600356824,6
Documentary,7.133333333333333,7
Drama,6.414547919491083,6
Family,5.923259152907394,5
Fantasy,5.7483386075949365,5
Film-Noir,7.186956521739131,7
History,6.847419804741981,6
Horror,5.262258606213266,5
Music,6.487413554633471,6
Musical,6.4986046511627915,6
Mystery,6.052821522309712,6
News,6.95,6
Reality-Tv,6.4,6
Romance,6.230106830689543,6
Sci-Fi,5.478109028960818,5
Short,6.970731707317073,6
Sport,6.166197183098591,6
Thriller,5.754667519181585,5
War,6.473858921161826,6
Western,5.637202380952381,5
